"Date","Price","Volume","Market_cap"
"2023-06-02 00:00:00 UTC+0","0.00000128","83588045.260985","539582557.31604290"
"2023-06-01 00:00:00 UTC+0","0.00000124","156146041.227945","522864103.37065846"
"2023-05-31 00:00:00 UTC+0","0.00000127","182955178.270413","532317767.68037796"
"2023-05-30 00:00:00 UTC+0","0.00000130","137286486.866793","544989035.92041350"
"2023-05-29 00:00:00 UTC+0","0.00000144","123304367.588741","604725502.83184230"
"2023-05-28 00:00:00 UTC+0","0.00000149","128583207.907816","628275118.14242430"
"2023-05-27 00:00:00 UTC+0","0.00000151","121594281.106646","636625807.46377020"
"2023-05-26 00:00:00 UTC+0","0.00000146","153293559.757794","613160748.89160720"
"2023-05-25 00:00:00 UTC+0","0.00000142","223178784.935298","598902799.43281440"
"2023-05-24 00:00:00 UTC+0","0.00000143","297856472.260562","602650729.21533370"
"2023-05-23 00:00:00 UTC+0","0.00000159","191700453.250091","670271724.86698210"
"2023-05-22 00:00:00 UTC+0","0.00000153","177638100.977229","643165624.62440260"
"2023-05-21 00:00:00 UTC+0","0.00000159","285385626.233302","670452950.00429270"
"2023-05-20 00:00:00 UTC+0","0.00000171","350007675.800188","720905159.39085290"
"2023-05-19 00:00:00 UTC+0","0.00000152","203446965.928810","640968328.70539710"
"2023-05-18 00:00:00 UTC+0","0.00000159","277969693.456315","667413821.69461290"
"2023-05-17 00:00:00 UTC+0","0.00000157","403185368.703091","660651443.35476030"
"2023-05-16 00:00:00 UTC+0","0.00000166","329273837.263919","699982637.04212750"
